delta,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-13,0.4,-0.987685,0.02793,-0.0604,0.601647
0,-13,0.6,-1.04673,0.0238,-0.0546,2.70375
0,-13,0.8,-1.07929,0.02151,-0.0496,4.24045
0,-13,1,-1.09719,0.01986,-0.0476,5.42468
0,-13,1.2,-1.10664,0.01868,-0.0494,6.25822
0,-13,1.4,-1.11107,0.0177,-0.0506,6.83132
0,-13,1.6,-1.11056,0.01692,-0.051,7.23437
0,-13,1.8,-1.11361,0.01631,-0.0514,7.60844
0,-13,2,-1.11013,0.01581,-0.0518,7.72702
0,-13,2.2,-1.10774,0.0154,-0.0521,7.94175
0,-13,2.4,-1.10603,0.01504,-0.0525,8.05649
0,-13,2.6,-1.10323,0.01469,-0.05225,8.04545
0,-13,3.2,-1.09752,0.01385,-0.0523,8.1565
0,-12.8,0.2,-0.914914,0.03563,-0.0643,-1.5021
0,-12.8,0.4,-0.985075,0.02724,-0.0587,0.905549
0,-12.8,0.6,-1.03661,0.02326,-0.0524,3.09024
0,-12.8,0.8,-1.06379,0.02107,-0.0471,4.63066
0,-12.8,1,-1.07759,0.01936,-0.0482,5.79061
0,-12.8,1.2,-1.0842,0.01818,-0.0498,6.58314
0,-12.8,1.4,-1.0867,0.01729,-0.0505,7.11357
0,-12.8,1.6,-1.08489,0.01653,-0.051,7.45587
0,-12.8,1.8,-1.08668,0.01593,-0.0515,7.80104
0,-12.8,2,-1.08288,0.01544,-0.0519,7.8662
0,-12.8,2.2,-1.07972,0.01505,-0.0519,7.99708
0,-12.8,2.4,-1.07774,0.0147,-0.0522,8.13144
0,-12.8,2.6,-1.07502,0.01438,-0.052,8.14939
0,-12.8,3.2,-1.06903,0.01354,-0.0528,8.15262
0,-12.6,0.2,-0.919651,0.0348,-0.0626,-1.19334
0,-12.6,0.4,-0.981293,0.02659,-0.0568,1.26998
0,-12.6,0.6,-1.02516,0.02276,-0.0501,3.46818
0,-12.6,0.8,-1.04702,0.0206,-0.0465,4.97127
0,-12.6,1,-1.05685,0.01889,-0.0487,6.07925
0,-12.6,1.2,-1.06079,0.01772,-0.0498,6.8158
0,-12.6,1.4,-1.06152,0.0169,-0.0506,7.29577
0,-12.6,1.6,-1.05862,0.01617,-0.0512,7.57768
0,-12.6,1.8,-1.05927,0.01557,-0.0517,7.88967
0,-12.6,2,-1.05532,0.01509,-0.0519,7.9084
0,-12.6,2.2,-1.05169,0.0147,-0.0517,8.05242
0,-12.6,2.4,-1.04937,0.01435,-0.0518,8.11162
0,-12.6,2.6,-1.04663,0.01406,-0.0521,8.10633
0,-12.6,3.2,-1.0407,0.01326,-0.0533,8.06374
0,-12.4,0.2,-0.923131,0.03399,-0.0609,-0.786674
0,-12.4,0.4,-0.976158,0.02598,-0.0547,1.67839
0,-12.4,0.6,-1.01242,0.0223,-0.0475,3.83357
0,-12.4,0.8,-1.02914,0.02003,-0.0471,5.26648
0,-12.4,1,-1.03523,0.01844,-0.049,6.30078
0,-12.4,1.2,-1.03671,0.0173,-0.05,6.97005
0,-12.4,1.4,-1.03586,0.01647,-0.0508,7.39402
0,-12.4,1.6,-1.03208,0.01582,-0.0516,7.61685
0,-12.4,1.8,-1.0317,0.01524,-0.0515,7.89262
0,-12.4,2,-1.02776,0.01476,-0.0514,7.87138
0,-12.4,2.2,-1.02369,0.01436,-0.0516,7.98145
0,-12.4,2.4,-1.0212,0.01402,-0.0521,8.01536
0,-12.4,2.6,-1.01851,0.01372,-0.0524,7.99008
0,-12.4,3.2,-1.01281,0.01297,-0.0545,7.90751
0,-12.2,0.2,-0.925057,0.0332,-0.059,-0.30646
0,-12.2,0.4,-0.969542,0.0254,-0.0525,2.11628
0,-12.2,0.6,-0.998419,0.02187,-0.0448,4.18309
0,-12.2,0.8,-1.0103,0.0195,-0.0476,5.52019
0,-12.2,1,-1.01293,0.01801,-0.0492,6.46438
0,-12.2,1.2,-1.0122,0.0169,-0.0503,7.0583
0,-12.2,1.4,-1.00998,0.01608,-0.0512,7.42271
0,-12.2,1.6,-1.00553,0.01547,-0.0512,7.58854
0,-12.2,1.8,-1.00425,0.01492,-0.0513,7.82618
0,-12.2,2,-1.00044,0.01444,-0.0516,7.77087
0,-12.2,2.2,-0.996041,0.01404,-0.052,7.84842
0,-12.2,2.4,-0.993483,0.0137,-0.0523,7.8589
0,-12.2,2.6,-0.990911,0.01341,-0.053,7.81658
0,-12.2,3.2,-0.985557,0.01269,-0.056,7.69948
0,-12,0.2,-0.92521,0.03244,-0.057,0.225946
0,-12,0.4,-0.961364,0.02486,-0.0501,2.57095
0,-12,0.6,-0.983234,0.02136,-0.045,4.51395
0,-12,0.8,-0.990642,0.01902,-0.0479,5.73601
0,-12,1,-0.990155,0.01761,-0.0495,6.57829
0,-12,1.2,-0.987493,0.01652,-0.0507,7.0916
0,-12,1.4,-0.984106,0.01572,-0.0507,7.3946
0,-12,1.6,-0.979168,0.0151,-0.051,7.50615
0,-12,1.8,-0.977126,0.0146,-0.0516,7.70473
0,-12,2,-0.973569,0.01414,-0.0517,7.62078
0,-12,2.2,-0.968949,0.01374,-0.0522,7.66748
0,-12,2.4,-0.966392,0.01339,-0.0531,7.65649
0,-12,2.6,-0.963993,0.01309,-0.0542,7.59986
0,-12,3.2,-0.959101,0.01238,-0.058,7.4533
0,-11.8,0.2,-0.923441,0.0317,-0.0548,0.791929
0,-11.8,0.4,-0.951586,0.02436,-0.0476,3.03147
0,-11.8,0.6,-0.96693,0.02082,-0.0458,4.82391
0,-11.8,0.8,-0.970294,0.01857,-0.0482,5.91728
0,-11.8,1,-0.967056,0.01719,-0.0499,6.64991
0,-11.8,1.2,-0.962748,0.01616,-0.0503,7.07976
0,-11.8,1.4,-0.958411,0.01536,-0.0508,7.32099
0,-11.8,1.6,-0.95342,0.01476,-0.0511,7.36555
0,-11.8,1.8,-0.950507,0.01427,-0.0515,7.54091
0,-11.8,2,-0.947285,0.01384,-0.0523,7.43328
0,-11.8,2.2,-0.942553,0.01344,-0.0533,7.45104
0,-11.8,2.4,-0.940069,0.0131,-0.0545,7.42062
0,-11.8,2.6,-0.93789,0.0128,-0.0556,7.35214
0,-11.8,3.2,-0.933553,0.01207,-0.061,7.18086
0,-11.6,0.2,-0.919661,0.03098,-0.0526,1.37539
0,-11.6,0.4,-0.940205,0.02385,-0.0446,3.48842
0,-11.6,0.6,-0.949583,0.02026,-0.0462,5.11118
0,-11.6,0.8,-0.949368,0.01815,-0.0487,6.06708
0,-11.6,1,-0.943771,0.01677,-0.0498,6.6858
0,-11.6,1.2,-0.93811,0.01581,-0.0505,7.03146
0,-11.6,1.4,-0.933038,0.01502,-0.0511,7.21179
0,-11.6,1.6,-0.927672,0.01442,-0.0512,7.22496
0,-11.6,1.8,-0.924517,0.01393,-0.0521,7.34577
0,-11.6,2,-0.921706,0.01352,-0.0534,7.21901
0,-11.6,2.2,-0.916959,0.01316,-0.0545,7.20992
0,-11.6,2.4,-0.914612,0.01282,-0.0559,7.16213
0,-11.6,2.6,-0.912689,0.01252,-0.0578,7.08406
0,-11.6,3.2,-0.908987,0.01176,-0.0651,6.89245
0,-11.4,0.2,-0.913835,0.03035,-0.0503,1.96255
0,-11.4,0.4,-0.927246,0.02339,-0.0414,3.93386
0,-11.4,0.6,-0.931275,0.01976,-0.0466,5.37444
0,-11.4,0.8,-0.927971,0.01775,-0.0492,6.18827
0,-11.4,1,-0.920415,0.01639,-0.0499,6.69182
0,-11.4,1.2,-0.913693,0.01547,-0.0509,6.95434
0,-11.4,1.4,-0.908095,0.01471,-0.0509,7.07569
0,-11.4,1.6,-0.90276,0.0141,-0.0519,7.04548
0,-11.4,1.8,-0.899249,0.01361,-0.0532,7.12892
0,-11.4,2,-0.896908,0.01321,-0.0544,6.98714
0,-11.4,2.2,-0.892236,0.01286,-0.0562,6.95343
0,-11.4,2.4,-0.890084,0.01254,-0.0584,6.89035
0,-11.4,2.6,-0.888447,0.01223,-0.0609,6.80473
0,-11.4,3.2,-0.885443,0.01148,-0.0697,6.59688
0,-11.2,0.2,-0.905969,0.0298,-0.0478,2.54172
0,-11.2,0.4,-0.912762,0.02278,-0.0423,4.36113
0,-11.2,0.6,-0.912091,0.01929,-0.0471,5.61274
0,-11.2,0.8,-0.906196,0.01737,-0.0491,6.2835
0,-11.2,1,-0.897082,0.01601,-0.0503,6.67315
0,-11.2,1.2,-0.889585,0.01511,-0.0505,6.85505
0,-11.2,1.4,-0.883663,0.0144,-0.0516,6.92022
0,-11.2,1.6,-0.878503,0.0138,-0.0528,6.85086
0,-11.2,1.8,-0.874763,0.01331,-0.0542,6.89862
0,-11.2,2,-0.872938,0.01289,-0.0563,6.74556
0,-11.2,2.2,-0.868424,0.01253,-0.059,6.68955
0,-11.2,2.4,-0.866515,0.01221,-0.0617,6.61327
0,-11.2,2.6,-0.865187,0.01193,-0.0648,6.52195
0,-11.2,3.2,-0.862932,0.01126,-0.0727,6.30163
0,-11,0.2,-0.896111,0.0293,-0.0452,3.10315
0,-11,0.4,-0.896827,0.02224,-0.0431,4.76478
0,-11,0.6,-0.89212,0.01886,-0.0478,5.8255
0,-11,0.8,-0.884131,0.01696,-0.0494,6.35522
0,-11,1,-0.873851,0.01568,-0.05,6.63436
0,-11,1.2,-0.865854,0.01476,-0.0511,6.73939
0,-11,1.4,-0.859797,0.01409,-0.0524,6.75189
