delta_d,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-12,1.1,-0.881131,0.018188,-0.07446,3.3749
0,-12,1.2,-0.887393,0.017756,-0.07382,3.41952
0,-12,1.3,-0.892881,0.01737,-0.0732,3.46087
0,-12,1.4,-0.897594,0.01703,-0.0726,3.49897
0,-12,1.5,-0.902307,0.01669,-0.072,3.53706
0,-12,1.6,-0.906065,0.016442,-0.07156,3.56355
0,-12,1.7,-0.909823,0.016194,-0.07112,3.59003
0,-12,1.8,-0.91322,0.015976,-0.07074,3.61328
0,-12,1.9,-0.916257,0.015788,-0.07042,3.6333
0,-12,2,-0.919294,0.0156,-0.0701,3.65332
0,-12,2.1,-0.921738,0.015434,-0.06974,3.67155
0,-12,2.2,-0.924182,0.015268,-0.06938,3.68978
0,-12,2.3,-0.926626,0.015102,-0.06902,3.70801
0,-12,2.4,-0.92907,0.014936,-0.06866,3.72625
0,-12,2.5,-0.931514,0.01477,-0.0683,3.74448
0,-12,2.6,-0.933446,0.014654,-0.06804,3.75878
0,-12,2.7,-0.935379,0.014538,-0.06778,3.77309
0,-12,2.8,-0.937312,0.014422,-0.06752,3.78739
0,-12,2.9,-0.939244,0.014306,-0.06726,3.80169
0,-12,3,-0.941177,0.01419,-0.067,3.81599
0,-12,3.1,-0.942716,0.014102,-0.06682,3.82457
0,-12,3.2,-0.944255,0.014014,-0.06664,3.83314
0,-12,3.3,-0.945794,0.013926,-0.06646,3.84171
0,-12,3.4,-0.947333,0.013838,-0.06628,3.85028
0,-12,3.5,-0.948872,0.01375,-0.0661,3.85885
0,-12,3.6,-0.950188,0.013676,-0.0659,3.86604
0,-12,3.7,-0.951503,0.013602,-0.0657,3.87324
0,-12,3.8,-0.952819,0.013528,-0.0655,3.88043
0,-12,3.9,-0.954134,0.013454,-0.0653,3.88762
0,-12,4,-0.95545,0.01338,-0.0651,3.89481
0,-11.5,0.2,-0.729577,0.03042,-0.0806,3.07536
0,-11.5,0.3,-0.746583,0.02633,-0.0802,2.97404
0,-11.5,0.4,-0.769382,0.0238,-0.0787,3.02872
0,-11.5,0.5,-0.788981,0.02205,-0.0771,3.13218
0,-11.5,0.6,-0.805099,0.02077,-0.0757,3.26268
0,-11.5,0.7,-0.817996,0.01977,-0.0744,3.34074
0,-11.5,0.8,-0.828549,0.01904,-0.0734,3.41837
0,-11.5,0.9,-0.837434,0.01838,-0.0724,3.49505
0,-11.5,1,-0.844836,0.01782,-0.0715,3.55065
0,-11.5,1.1,-0.850731,0.017416,-0.07082,3.5905
0,-11.5,1.2,-0.856626,0.017012,-0.07014,3.63035
0,-11.5,1.3,-0.861775,0.016658,-0.06954,3.66699
0,-11.5,1.4,-0.866176,0.016354,-0.06902,3.7004
0,-11.5,1.5,-0.870578,0.01605,-0.0685,3.73382
0,-11.5,1.6,-0.874121,0.015806,-0.06802,3.75666
0,-11.5,1.7,-0.877665,0.015562,-0.06754,3.7795
0,-11.5,1.8,-0.880876,0.015346,-0.0671,3.79917
0,-11.5,1.9,-0.883754,0.015158,-0.0667,3.81565
0,-11.5,2,-0.886632,0.01497,-0.0663,3.83214
0,-11.5,2.1,-0.888933,0.014826,-0.066,3.84685
0,-11.5,2.2,-0.891234,0.014682,-0.0657,3.86156
0,-11.5,2.3,-0.893535,0.014538,-0.0654,3.87627
0,-11.5,2.4,-0.895836,0.014394,-0.0651,3.89098
0,-11.5,2.5,-0.898137,0.01425,-0.0648,3.90569
0,-11.5,2.6,-0.899955,0.014134,-0.06452,3.9177
0,-11.5,2.7,-0.901773,0.014018,-0.06424,3.92971
