delta_d,delta_f,alpha,Re,Cl,Cd,Cm,Cl_alpha
0.0,0.0,-11.0,0.3,-0.720072,0.02502,-0.0769,3.11445
0.0,0.0,-11.0,0.4,-0.742166,0.02269,-0.0753,3.20419
0.0,0.0,-11.0,0.5,-0.760786,0.02098,-0.0734,3.3253
0.0,0.0,-11.0,0.6,-0.775743,0.01987,-0.0721,3.46043
0.0,0.0,-11.0,0.7,-0.787922,0.01892,-0.0707,3.547
0.0,0.0,-11.0,0.8,-0.797808,0.01818,-0.0696,3.62586
0.0,0.0,-11.0,0.9,-0.805831,0.01762,-0.0687,3.70289
0.0,0.0,-11.0,1.0,-0.812955,0.01714,-0.068,3.75182
0.0,0.0,-11.0,1.25,-0.826855,0.01613,-0.0661,3.84515
0.0,0.0,-11.0,1.5,-0.837172,0.01545,-0.0649,3.91967
0.0,0.0,-11.0,1.75,-0.845562,0.01488,-0.0637,3.97048
0.0,0.0,-11.0,2.0,-0.852424,0.01442,-0.0627,4.00643
0.0,0.0,-11.0,2.5,-0.863298,0.01373,-0.0612,4.07476
0.0,0.0,-11.0,3.0,-0.871983,0.01322,-0.06,4.12069
0.0,0.0,-11.0,3.5,-0.878983,0.01279,-0.0588,4.14843
0.0,0.0,-11.0,4.0,-0.88507,0.01244,-0.0579,4.17631
0.0,0.0,-10.5,0.2,-0.673879,0.02745,-0.0744,3.28867
0.0,0.0,-10.5,0.3,-0.69236,0.02379,-0.0734,3.23314
0.0,0.0,-10.5,0.4,-0.713534,0.02157,-0.0715,3.35374
0.0,0.0,-10.5,0.5,-0.731026,0.0201,-0.0699,3.49093
0.0,0.0,-10.5,0.6,-0.744789,0.01896,-0.0683,3.62893
0.0,0.0,-10.5,0.7,-0.756174,0.01818,-0.0672,3.72423
0.0,0.0,-10.5,0.8,-0.765363,0.01747,-0.066,3.80516
0.0,0.0,-10.5,0.9,-0.772741,0.01691,-0.065,3.87599
0.0,0.0,-10.5,1.0,-0.77943,0.01645,-0.0642,3.92706
0.0,0.0,-10.5,1.25,-0.792526,0.01556,-0.0626,4.01871
0.0,0.0,-10.5,1.5,-0.80222,0.01487,-0.0612,4.08748
0.0,0.0,-10.5,1.75,-0.810182,0.01436,-0.0601,4.13518
0.0,0.0,-10.5,2.0,-0.816741,0.01394,-0.0593,4.16926
0.0,0.0,-10.5,2.5,-0.827052,0.01326,-0.0576,4.23079
0.0,0.0,-10.5,3.0,-0.835361,0.01277,-0.0564,4.2717
0.0,0.0,-10.5,3.5,-0.84213,0.0124,-0.0555,4.29751
0.0,0.0,-10.5,4.0,-0.847973,0.01205,-0.0545,4.32607
0.0,0.0,-10.0,0.2,-0.644907,0.0262,-0.0711,3.34812
0.0,0.0,-10.0,0.3,-0.663693,0.02273,-0.0698,3.33455
0.0,0.0,-10.0,0.4,-0.683696,0.02065,-0.0679,3.48145
0.0,0.0,-10.0,0.5,-0.699931,0.01924,-0.0661,3.63164
0.0,0.0,-10.0,0.6,-0.712486,0.01823,-0.0646,3.76999
0.0,0.0,-10.0,0.7,-0.723007,0.01742,-0.0633,3.87256
0.0,0.0,-10.0,0.8,-0.73148,0.01683,-0.0624,3.95569
0.0,0.0,-10.0,0.9,-0.738265,0.0163,-0.0614,4.02088
0.0,0.0,-10.0,1.0,-0.744494,0.01585,-0.0606,4.07515
0.0,0.0,-10.0,1.25,-0.756785,0.01501,-0.059,4.16861
0.0,0.0,-10.0,1.5,-0.765892,0.01438,-0.0577,4.23483
0.0,0.0,-10.0,1.75,-0.77344,0.01386,-0.0565,4.28243
0.0,0.0,-10.0,2.0,-0.779699,0.01346,-0.0557,4.31751
0.0,0.0,-10.0,2.5,-0.789486,0.01285,-0.0542,4.37697
0.0,0.0,-10.0,3.0,-0.797444,0.01235,-0.0529,4.41695
0.0,0.0,-10.0,3.5,-0.803982,0.01198,-0.0519,4.44481
0.0,0.0,-10.0,4.0,-0.809565,0.01169,-0.051,4.47617
0.0,0.0,-9.5,0.2,-0.61548,0.02499,-0.0678,3.39503
0.0,0.0,-9.5,0.3,-0.634191,0.02178,-0.0663,3.42586
0.0,0.0,-9.5,0.4,-0.652819,0.01979,-0.0641,3.59281
0.0,0.0,-9.5,0.5,-0.667701,0.01848,-0.0623,3.75184
0.0,0.0,-9.5,0.6,-0.679057,0.01753,-0.0609,3.88815
0.0,0.0,-9.5,0.7,-0.688659,0.0168,-0.0597,3.99557
0.0,0.0,-9.5,0.8,-0.696398,0.0162,-0.0586,4.08039
0.0,0.0,-9.5,0.9,-0.702636,0.01572,-0.0578,4.14072
0.0,0.0,-9.5,1.0,-0.708377,0.01533,-0.0571,4.19857
0.0,0.0,-9.5,1.25,-0.719835,0.01449,-0.0554,4.29611
0.0,0.0,-9.5,1.5,-0.728365,0.01391,-0.0541,4.36252
0.0,0.0,-9.5,1.75,-0.73549,0.01344,-0.0531,4.41247
0.0,0.0,-9.5,2.0,-0.74143,0.01303,-0.0521,4.45075
0.0,0.0,-9.5,2.5,-0.750692,0.01244,-0.0506,4.51212
0.0,0.0,-9.5,3.0,-0.758292,0.01199,-0.0494,4.5548
0.0,0.0,-9.5,3.5,-0.764566,0.01162,-0.0483,4.58787
0.0,0.0,-9.5,4.0,-0.769858,0.01132,-0.0474,4.62352
0.0,0.0,-9.0,0.2,-0.585657,0.02393,-0.0643,3.44049
0.0,0.0,-9.0,0.3,-0.603526,0.02092,-0.06245,3.51451
0.0,0.0,-9.0,0.4,-0.62102,0.01903,-0.0603,3.6938
0.0,0.0,-9.0,0.5,-0.634492,0.01783,-0.0586,3.8572
0.0,0.0,-9.0,0.6,-0.644675,0.01689,-0.0571,3.98939
0.0,0.0,-9.0,0.7,-0.653328,0.01621,-0.0559,4.09886
0.0,0.0,-9.0,0.8,-0.660324,0.01567,-0.055,4.18443
0.0,0.0,-9.0,0.9,-0.666053,0.01519,-0.0541,4.24075
0.0,0.0,-9.0,1.0,-0.671274,0.0148,-0.0533,4.30198
0.0,0.0,-9.0,1.25,-0.681859,0.01405,-0.0519,4.40472
0.0,0.0,-9.0,1.5,-0.689801,0.01346,-0.0505,4.47337
0.0,0.0,-9.0,1.75,-0.696472,0.01302,-0.0495,4.5274
0.0,0.0,-9.0,2.0,-0.702059,0.01267,-0.0487,4.57028
