alpha,Re,Cl,Cd,Cm,Cl_alpha
-12.6,2,-1.20631,0.016,-0.022,5.14666
-12.6,2.2,-1.21078,0.01559,-0.0207,5.27864
-12.6,2.4,-1.21414,0.01521,-0.0203,5.37909
-12.4,0.2,-0.854802,0.04678,-0.0504,-6.29031
-12.4,0.4,-1.03564,0.02947,-0.0434,0.676794
-12.4,0.5,-1.06632,0.02602,-0.0405,1.38871
-12.4,0.6,-1.08858,0.02403,-0.0383,1.91173
-12.4,0.8,-1.12265,0.02127,-0.0336,2.92507
-12.4,1,-1.14511,0.01947,-0.0295,3.60292
-12.4,1.2,-1.15864,0.0183,-0.0268,4.11314
-12.4,1.4,-1.16892,0.01758,-0.0252,4.517
-12.4,1.6,-1.17706,0.01682,-0.0233,4.82606
-12.4,1.8,-1.18329,0.01622,-0.0217,5.07751
-12.4,2,-1.18811,0.01573,-0.0202,5.27755
-12.4,2.2,-1.19214,0.01528,-0.0202,5.3987
-12.4,2.4,-1.19517,0.01488,-0.0206,5.48631
-12.2,0.2,-0.875275,0.04514,-0.0492,-5.43247
-12.2,0.4,-1.0327,0.0286,-0.042,1.01273
-12.2,0.5,-1.06092,0.02538,-0.0391,1.71237
-12.2,0.6,-1.08138,0.02331,-0.0365,2.21633
-12.2,0.8,-1.11198,0.02081,-0.0318,3.19072
-12.2,1,-1.1321,0.01909,-0.0279,3.84779
-12.2,1.2,-1.14392,0.01793,-0.0252,4.32193
-12.2,1.4,-1.15284,0.01721,-0.0234,4.6972
-12.2,1.6,-1.15994,0.01654,-0.0216,4.98333
-12.2,1.8,-1.16532,0.01595,-0.0199,5.2124
-12.2,2,-1.16948,0.01541,-0.0201,5.39227
-12.2,2.2,-1.17311,0.01496,-0.0206,5.5015
-12.2,2.4,-1.17586,0.01457,-0.021,5.57637
-12,0.2,-0.892688,0.04379,-0.0478,-4.54016
-12,0.4,-1.02853,0.02779,-0.0404,1.3822
-12,0.5,-1.05434,0.02478,-0.0375,2.06173
-12,0.6,-1.07308,0.02271,-0.0346,2.54294
-12,0.8,-1.10037,0.02039,-0.0299,3.46705
-12,1,-1.11824,0.01872,-0.0263,4.09293
-12,1.2,-1.12847,0.01758,-0.0235,4.52647
-12,1.4,-1.13614,0.01685,-0.0215,4.86957
-12,1.6,-1.14229,0.01626,-0.0198,5.13004
-12,1.8,-1.14691,0.01563,-0.02,5.33453
-12,2,-1.15048,0.01509,-0.0205,5.49252
-12,2.2,-1.15375,0.01464,-0.021,5.5892
-12,2.4,-1.15626,0.01426,-0.0213,5.65168
